id,title,price,badge,categories,keywords,sizes,colors,primaryOptionLabel,secondaryOptionLabel,skullOptions,image,details
"genki-sport-long-sleeve-shirt","Genki Sport Long Sleeve Shirt","$35.00 ","SPORT","Tops","genki sport champion long sleeve shirt athletic","S;M;L;XL;2XL†","","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-173490502110580-1.png","Athletic long sleeve fit for daily wear. | Clean GENKI Sport styling with lightweight comfort. | Easy layering piece for cooler weather."
"rosebush-drawstring-bag","Rosebush Drawstring Bag","$28.00 ","","Accessories","rosebush drawstring bag floral accessory","","","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-17009474928894-0.png","Lightweight drawstring bag with rosebush graphic. | Great for gym, errands, and daily carry. | Compact profile with practical capacity."
"genki-cards-kiss-cut-stickers","Miki Cards Kiss-Cut Stickers","$10.00 ","","Accessories","genki cards kiss-cut stickers decal","","","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-173412876110165-0.png","Kiss-cut sticker set with GENKI card-inspired art. | Weather-resistant finish for laptops and bottles. | Clean peel application."
"genki-topographic-spiral-notebook","Genki Topographic Spiral Notebook","$20.00 ","","Accessories","genki topographic spiral notebook stationery","","","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-172925600012141-0.png","Spiral notebook with topographic GENKI cover graphic. | Portable format for notes and sketches. | Designed as everyday desk carry."
"genki-nomad-beanie","Nomad Beanie","$25.00 ","","Accessories","genki nomad beanie knit cap","","","Beanie","Kanji","Dark Kanji:Pink,Gold,Grey,White|Light Kanji:Black,Brown,Dark Grey,Navy","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-170099458117494-0.png","Nomad beanie with kanji embroidery options. | Choose beanie color and kanji style. | Knit construction for everyday wear."
"genki-inkblot-beanie","Inkblot Beanie","$22.00 ","","Accessories","genki inkblot beanie knit cap","","white;Pink;Gold;Grey;Red","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-17007739318938-0.png","Inkblot series knit beanie. | Soft profile for daily wear. | Simple cuffed fit."
"genki-woman-eco-tote","Miki Eco Tote","$30.00 ","","Accessories","tote eco sustainable woman","One Size","","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-172881681510457-0.png","Eco-friendly tote bag made from recycled materials. | Perfect for carrying your essentials in style. | Features a unique GENKI logo design."
"rosebush-heavy-hoodie","Rosebush Heavy Hoodie","$40.00 ","","Tops","hoodie heavy rosebush oversized casual","S;M;L;XL;2XL","Black;Maroon","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-16754042575530-0.png","Heavyweight hoodie with a rosebush print. | Made from 85% cotton, 15% polyester blend. | Oversized fit for comfort and style."
"genki-nomad-jacket","GENKI Nomad Jacket","$55.00 ","","Tops","jacket Unfinished packable casual kanji","S;M;L;XL;2XL","Black;Navy;Gold;Light Blue;Neon Green","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-170094910711008-2.png","Lightweight and packable for on-the-go lifestyles. | Water-resistant fabric to keep you dry."
"acd-organic-sweatshirt","[ACD] Unfinished Organic Sweatshirt","$40.00 ","[ACD] Sketch","Tops","sweatshirt Unfinished organic casual sketch artwork ali can't draw","S;M;L;XL;2XL","Black;Grey;Blue;Green;Brown","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-176509461712698-5.png","Organic cotton material for sustainability. | Unfinished fit, suitable for all. | Features the ""Ali Can't Draw"" Sketch #014 graphic. | Ribbed cuffs and hem."
"genki-rainman-heavy-shirt","Rainman Heavy T-shirt","$30.00 ","","Tops","tshirt Unfinished heavy kanji loud artwork ali can't draw","S;M;L;XL;2XL†;3XL†;4XL†","Moss;Black;Navy;Graphite;Watermelon","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-173602337217700-1.png","Organic cotton material for sustainability. | Unfinished fit, suitable for all. | Features the ""Ali Can't Draw"" Sketch #014 graphic. | Ribbed cuffs and hem."
"genki-sport-fitted-tee","Genki Sport Fitted T-shirt","$30.00 ","SPORT","Tops","fitted t-shirt sport breathable lightweight comfortable genki","S;M;L;XL;2XL†;3XL†","Navy;Black;Pink","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-17349048674886-0.png","Lightweight and breathable fabric for active wear. | Fitted cut for a sleek look. | Features the GENKI Sport logo on the chest."
"genki-sport-fleece-joggers","Genki Sport Fleece Joggers","$45.00 ","SPORT","Bottoms","fleece joggers sport comfortable warm genki activewear","XS;S;M;L;XL;2XL†","Maroon;Black;Rose;Fatigue Green;Navy","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-173602526613839-0.png","Soft fleece material for warmth and comfort. | Elastic waistband with drawstring for adjustable fit. | Features the GENKI logo on the thigh."
"acd-4am-vibes-tee","[ACD] 4 AM Vibes Heavy Tee","$45.00 ","[ACD] Sketch","Tops","heavy tee 4 am vibes acd sketch comfortable durable artwork ali can't draw","S;M;L;XL;2XL†","","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-17653149238850-4.png","Heavyweight fabric for durability. | Relaxed fit for comfort. | Features the ""4 AM Vibes"" [ACD] Sketch graphic."
"acd-neko-pastel-cap","[ACD] Neko Pastel Baseball Cap","$30.00 ","[ACD] Sketch","Accessories","cap pastel neko baseball adjustable lightweight japanese cat hat artwork ali can't draw","","Pastel Pink;Pastel Lemon;Pastel Mint;Pastel Blue","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-176509539212418-2.png","Adjustable fit ensures comfort. | Soft pastel color tones for a lighter aesthetic. | Features the Japanese Neko (Cat) graphic."
"genki-america-snapback","Make America Genki Again Electric Blue Snapback","$30.00 ","","Accessories","snapback electric blue genki cap maga political parody hat","","Electric Blue","","","","https://uploads.twitchalerts.com/000/115/629/159/21699478-mockup-17617999204796-0.png","Vibrant electric blue brim and accents. | Classic snapback style with adjustable closure. | Features bold Genki statement branding."
